term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),76.03011321444033,1.6660251372402004,2.599678355087561,0.009331117487808786,3.353962816276026,2423.721677122069
SBP,0.9518863410434371,0.010081899091264798,-4.890908005740987,1.0037187053475882e-6,0.9315140549678174,0.9694129318433733
MCVP,1.01831439451127,0.005073780824125624,3.5769589878492334,3.4761468683611006e-4,1.008546830272686,1.0291360760572283
UO,0.9502562959399612,0.024436303841867128,-2.0880222272263165,0.036795829709119564,0.901030345531524,0.992778963295807
HG,0.9793841417582104,0.010874391604080918,-1.915631917275316,0.05541196396356414,0.9577143478071113,0.9998325674259726
SHOCK_TYPHypovolemic-shock,6.625523578161189,0.8004678333677618,2.36228030732949,0.018162903152152528,1.4400405484028904,34.49204330219139
SHOCK_TYPCardiogenic-shock,3.1269019178634836,0.7949324527182405,1.434137841367693,0.15153293097249437,0.6677080675924825,15.559291169110047
SHOCK_TYPBacterial-shock,3.5260652694545604,0.8746383633806255,1.440804162579304,0.1496400171510315,0.6490063892921764,20.776080220175714
SHOCK_TYPNeurogenic-shock,5.969471307335892,0.8220381344827711,2.1734494913328755,0.029746503371437655,1.2458754458499188,32.3392677871003
SHOCK_TYPOther,4.991457379867174,0.937896862746188,1.7141841401498354,0.08649491271024647,0.8041907608387162,33.19447074409372
SBP:UO,1.0003529904446844,1.8154579003219556e-4,1.944017309088273,0.05189336383259138,0.999991136388688,1.0007255340103596
