SURVIVE,SBP_mean,SBP_median,SBP_sd,SBP_min,SBP_max,DBP_mean,DBP_median,DBP_sd,DBP_min,DBP_max,MAP_mean,MAP_median,MAP_sd,MAP_min,MAP_max,UO_mean,UO_median,UO_sd,UO_min,UO_max,HG_mean,HG_median,HG_sd,HG_min,HG_max,MCVP_mean,MCVP_median,MCVP_sd,MCVP_min,MCVP_max,AGE_mean,AGE_median,AGE_sd,AGE_min,AGE_max,HT_mean,HT_median,HT_sd,HT_min,HT_max
Survived,115.21739130434783,114,28.38074614801659,48,171,63.608695652173914,62,16.88822892475211,26,108,79.98550724637681,80,19.609791037089842,32,124,79.68115942028986,12,132.13111722759498,0,510,115.82608695652173,113,26.017503453127546,66,180,76.3913043478261,68,55.80934388120082,2,302,52.971014492753625,55,16.442386951460286,16,82,165.34782608695653,168,13.906014448851343,70,183
Died,92.46511627906976,91,29.383627476481408,26,158,50.58139534883721,48,18.60393271038032,10,96,63.162790697674424,59,22.065843279730455,15,116,15.162790697674419,0,51.94957730822039,0,320,113.11627906976744,110,23.757915274829568,71,158,107.46511627906976,100,53.78411379775599,14,257,57.27906976744186,59,16.88522259169855,17,90,161.1627906976744,161,10.18619568351053,140,185
