model,accuracy,misclassification_rate,sensitivity,specificity
Classification tree,0.7608695652173914,0.2391304347826087,0.5454545454545454,0.9583333333333334
Random forest,0.717391304347826,0.2826086956521739,0.6363636363636364,0.7916666666666666
Logistic regression,0.6956521739130435,0.30434782608695654,0.5,0.875
Bagging,0.6956521739130435,0.30434782608695654,0.5454545454545454,0.8333333333333334
